,movie_id,title,genre,release_year,runtime,rating,vote_count,director,cast,overview,gross,poster_link
342,2668,Sleepy Hollow,"['Drama', 'Fantasy', 'Thriller', 'Mystery', 'Horror']",1999,105,7.177,6627,Tim Burton,"['Johnny Depp', 'Christina Ricci', 'Miranda Richardson', 'Michael Gambon']","Skeptical young detective Ichabod Crane gets transferred to the hamlet of Sleepy Hollow, New York, where he is tasked with investigating the decapitations of three people – murders the townsfolk attribute to a legendary specter, The Headless Horseman.",106100000,/uZNxJW7ygEHizeHOp7Nw9ysf4QJ.jpg
343,2756,The Abyss,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",1989,140,7.348,2920,James Cameron,"['Ed Harris', 'Mary Elizabeth Mastrantonio', 'Michael Biehn', 'Leo Burmester']","A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.",20000098,/2dCit3XAtv9KWCJvRKdPkJ0FAkH.jpg
344,2758,Addams Family Values,"['Comedy', 'Family', 'Fantasy']",1993,94,6.97,2910,Barry Sonnenfeld,"['Anjelica Huston', 'Raúl Juliá', 'Christopher Lloyd', 'Joan Cusack']","Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.",1919043,/sdxT2VjVSx9DRicwnuECUdBHeE7.jpg
345,2789,The Chronicles of Riddick,"['Action', 'Science Fiction']",2004,119,6.523,3997,David Twohy,"['Vin Diesel', 'Thandiwe Newton', 'Karl Urban', 'Alexa Davalos']","After years of outrunning ruthless bounty hunters, escaped convict Riddick suddenly finds himself caught between opposing forces in a fight for the future of the human race. Now, waging incredible battles on fantastic and deadly worlds, this lone, reluctant hero will emerge as humanity's champion - and the last hope for a universe on the edge of annihilation.",10772733,/iowZ2cwHFuxrSV3xsEN1LCM0Pgn.jpg
346,2832,Identity,"['Mystery', 'Thriller']",2003,90,7.184,3803,James Mangold,"['John Cusack', 'Ray Liotta', 'Amanda Peet', 'John Hawkes']","Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.",62259536,/bnidwEvWNAVJ3Uco9wWtuzWAfrx.jpg
347,2907,The Addams Family,"['Comedy', 'Fantasy']",1991,100,7.0,4469,Barry Sonnenfeld,"['Raúl Juliá', 'Anjelica Huston', 'Christopher Lloyd', 'Christina Ricci']","When a man claiming to be long-lost Uncle Fester reappears after 25 years lost, the family plans a celebration to wake the dead. But the kids barely have time to warm up the electric chair before Morticia begins to suspect Fester is fraud when he can't recall any of the details of Fester's life.",161502426,/qFf8anju5f2epI0my8RdwwIXFIP.jpg
348,2978,Ghostbusters II,"['Comedy', 'Fantasy']",1989,108,6.574,4352,Ivan Reitman,"['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver', 'Harold Ramis']","Having lost their status and credibility five years after covering New York City with gooey roasted marshmallows in Ghostbusters (1984), the city's former heroes and once-popular spirit-hunters struggle to keep afloat, forced to work odd jobs. However, when Dana and her baby have yet another terrifying encounter with the paranormal, it is up to Peter Venkman and his fearless team of supernatural crime fighters to step up and save the day. Once more, humankind is in danger, as rivers of slimy psycho-reactive ectoplasm, paired with the dreadful manifestation of evil sixteenth-century tyrant Vigo the Carpathian, threaten to plunge the entire city into darkness. Is the world ready to believe? Can the Ghostbusters save us for the second time?",178394738,/yObYPMA58DnTMvJooFW7GG6jWAt.jpg
349,3093,Basic Instinct 2,"['Crime', 'Mystery', 'Thriller']",2006,114,5.045,751,Michael Caton-Jones,"['Sharon Stone', 'David Morrissey', 'Charlotte Rampling', 'David Thewlis']","Novelist Catherine Tramell is once again in trouble with the law, and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though, like Detective Nick Curran before him, Glass is entranced by Tramell and lured into a seductive game.",-31370522,/kbxuAUIKrZHXXRxVvVYw95HWPKJ.jpg
350,3114,The Searchers,['Western'],1956,119,7.7,1377,John Ford,"['John Wayne', 'Jeffrey Hunter', 'Vera Miles', 'Ward Bond']","As a Civil War veteran spends years searching for a young niece captured by Indians, his motivation becomes increasingly questionable.",-3750000,/jLBmgW0epNzJ1N9uzaVCjbyT94v.jpg
351,3558,"Girl, Interrupted",['Drama'],1999,127,7.56,3744,James Mangold,"['Winona Ryder', 'Angelina Jolie', 'Clea DuVall', 'Brittany Murphy']","Set in the changing world of the late 1960s, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed, and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside.",8350205,/dOBdatHIVppvmRFw2z7bf9VKJr9.jpg
352,3563,I Now Pronounce You Chuck & Larry,"['Comedy', 'Romance']",2007,115,6.046,2289,Dennis Dugan,"['Adam Sandler', 'Kevin James', 'Jessica Biel', 'Dan Aykroyd']","Firefighters Chuck Ford and Larry Valentine are guy's guys, loyal to the core—which is why when widower Larry asks Chuck to pose as his lover so that he can get domestic partner benefits for his kids, his buddy agrees. However, things get dicey when a bureaucrat comes calling, and the boys are forced to present a picture of domestic bliss.",102134117,/6wjJ9EnNw4cmTSZYgnao7RpI3X.jpg
353,3597,I Know What You Did Last Summer,"['Horror', 'Thriller', 'Mystery']",1997,101,5.958,2717,Jim Gillespie,"['Jennifer Love Hewitt', 'Sarah Michelle Gellar', 'Freddie Prinze Jr.', 'Ryan Phillippe']","After an accident on a winding road, four teens make the fatal mistake of dumping their victim's body into the sea. Exactly one year later, the deadly secret resurfaces as they're stalked by a hook-handed figure.",108586134,/aYcLakDaAJtu2HtVvOXNx8inNlK.jpg
354,3981,What Women Want,"['Comedy', 'Romance']",2000,127,6.449,3884,Nancy Meyers,"['Mel Gibson', 'Helen Hunt', 'Marisa Tomei', 'Alan Alda']","Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.",304100000,/n5NOxrcgeiCxvEn47FG9bvlHNsV.jpg
355,4108,The Transporter,"['Action', 'Crime', 'Thriller']",2002,92,6.71,5242,Louis Leterrier,"['Jason Statham', 'Shu Qi', 'François Berléand', 'Matt Schulze']","Former Special Forces officer Frank Martin will deliver anything to anyone for the right price, and his no-questions-asked policy puts him in high demand. But when he realizes his latest cargo is alive, it sets in motion a dangerous chain of events. The bound and gagged Lai is being smuggled to France by a shady American businessman, and Frank works to save her as his own illegal activities are uncovered by a French detective.",22900000,/v3QIFUWgtVN4wejVuDZowuyJ20W.jpg
356,4133,Blow,"['Crime', 'Drama']",2001,124,7.368,4223,Ted Demme,"['Johnny Depp', 'Penélope Cruz', 'Franka Potente', 'Rachel Griffiths']","A boy named George Jung grows up in a struggling family in the 1950's. His mother nags at her husband as he is trying to make a living for the family. It is finally revealed that George's father cannot make a living and the family goes bankrupt. George does not want the same thing to happen to him, and his friend Tuna, in the 1960's, suggests that he deal marijuana. He is a big hit in California in the 1960's, yet he goes to jail, where he finds out about the wonders of cocaine. As a result, when released, he gets rich by bringing cocaine to America. However, he soon pays the price.",30300000,/yYZFVfk8aeMP4GxBSU9MTvqs9mJ.jpg
357,4176,Murder on the Orient Express,"['Drama', 'Thriller', 'Mystery']",1974,128,7.1,1381,Sidney Lumet,"['Albert Finney', 'Lauren Bacall', 'Martin Balsam', 'Ingrid Bergman']","In 1935, when his train is stopped by deep snow, detective Hercule Poirot is called on to solve a murder that occurred in his car the night before.",34300000,/6tHXXo9kciCKGp3kF0ffY9mjuOA.jpg
358,4192,Death on the Nile,['Mystery'],1978,140,7.157,772,John Guillermin,"['Peter Ustinov', 'Jane Birkin', 'Lois Chiles', 'Bette Davis']","As Hercule Poirot enjoys a luxurious cruise down the Nile, a newlywed heiress is found murdered on board and every elegant passenger becomes a prime suspect.",6640084,/7qEymSp6wCT19AJxb7T3u6aKpi1.jpg
359,4226,Shriek If You Know What I Did Last Friday the Thirteenth,['Comedy'],2000,86,4.682,297,John Blanchard,"['Tiffani Thiessen', 'Tom Arnold', 'Coolio', 'Majandra Delfino']","In this horror parody, a masked serial killer menaces the town of Bulimia Falls with various sharp objects. Attention-seeking television personality Hagitha Utslay is soon on the scene, reporting on the ever-growing body count. Former mall security guard Doughy shows up to protect the teenage population, but he's clearly not much help, allowing the murderer to pick off even more hapless kids as numerous scary movies are referenced.",-5000000,/m0jr23r30h8DUrX3kIu7rO3NIQp.jpg
360,4232,Scream,"['Crime', 'Horror', 'Mystery']",1996,112,7.421,6833,Wes Craven,"['David Arquette', 'Neve Campbell', 'Courteney Cox', 'Matthew Lillard']","A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.",159046663,/3O3klyyYpAZBBE4n7IngzTomRDp.jpg
361,4233,Scream 2,"['Horror', 'Mystery']",1997,120,6.494,4071,Wes Craven,"['Neve Campbell', 'Courteney Cox', 'David Arquette', ""Jerry O'Connell""]","Two years after the first series of murders, as Sidney Prescott acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",148363301,/dORlVasiaDkJXTqt9bdH7nFNs6C.jpg
